businessName,DBAName,Address,CITY,STATE,ZIP,LICSTATUS,LICENSECAT,DESCRIPT,licenseadddttm,dayphn,Property_ID,Location
MCDONALDS RESTAURANT,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/17/07 12:42,10000000000,,"(0.000000000, 0.000000000)"
Mehak Restaurant,,329 Sumner,East Boston,MA,2128,Active,FS,Eating & Drinking,7/31/09 14:41,17813468936,132398,"(42.367110000, -71.036070000)"
Mi Pueblito Orient Heights,,964 Saratoga,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/5/15 15:56,17817279547,122896,"(42.387170000, -71.008600000)"
Mi Pueblito Restaurant,,333 Border,East Boston,MA,2128,Active,FS,Eating & Drinking,6/5/08 13:08,16175693787,156052,"(42.379020000, -71.039890000)"
MI RANCHO RESTAURANT,,45 Meridian,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,17812842806,94606,"(42.371530000, -71.038840000)"
Mikes Vending L L C @ Constitution Beach,,4 Barnes,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,6/18/09 13:26,15089229190,8263,"(42.385880000, -71.006820000)"
MILANO'S DELI,,978 Saratoga,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,16175906501,157089,"(42.387008000, -71.007351000)"
Napoles,,1233 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,5/15/08 12:13,16175674454,14605,"(42.389900000, -70.996730000)"
New Saigon Restaurant,,985 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,11/4/13 13:06,16175616500,351693,"(0.000000000, 0.000000000)"
Nfarra 2,,127 Maverick,East Boston,MA,2128,Active,FS,Eating & Drinking,9/24/12 10:12,10000000000,92950,"(42.370207000, -71.039361000)"
OLIVEIRA'S RESTAURANT,,297 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,16173876069,30475,"(42.376990000, -71.030230000)"
Peet's Coffee & Tea(United Terminal BA A34),,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/23/14 12:53,15085622568,341353,"(0.000000000, 0.000000000)"
PGA Tour Grill,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/10/07 12:10,16174386338,,"(0.000000000, 0.000000000)"
Pinkberry (TRMNL C Pier B Side),,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/14/12 13:08,16175610200,341352,"(0.000000000, 0.000000000)"
